source;translation;type;module;status;customer
lang_code;kk;M;;T;N
lang_name;Қазақ;M;;T;N
lang_english_name;Kazakh;M;;T;N
lang_author;"Bimash Ltd";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;d/MM/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;55;M;;T;N
"Error during copy of sample banner image %s.";"%s жарлама суретін көшірудегі қате.";S;;T;N
"License";"Лицензия";S;;T;N
"You have to agree license.";"Сіз лицензиямен келісуіңіз керек.";B;;T;N
"Installation Completed";"Орнату аяқталды";B;;T;N
"Safe Mode";"Қауіпсіз күй";S;;T;N
"Display Errors";"Бейнебеткенің қателері";S;;T;N
"File Uploads";"Файлды кері қотару";S;;T;N
"Register Globals";"Жаһандық тіркеу";S;;T;N
"Session Auto Start";"Сеансты Авто Жегу";S;;T;N
"On";"Қосу";B;;T;N
"Off";"Өшіру";B;;T;N
"Configuration directory is writable";"Теңшелім каталогы жазылмалы";S;;T;N
"Configuration directory has to be writable";"Теңшелім каталогы жазылмалы болуы керек";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"%s каталогын және барлық ішкі каталогтарды вебсервермен жазылмалы жасаңыз";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"Unix тәрізді жүйелерде Сіз ""chmod -R 777 %s"" тере аласыз.";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"Кез келген жүйеде ыңғайлы FTP тұтынғыш жазбаша рұқсатын орната аласыз";S;;T;N
"PHP include path";"PHP кіретін жол";S;;T;N
"Could not set PHP include path";"РНР кіретін жолды орнату мүмкін емес";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Берілген таңбалар РНР кіретін жолды өзгерте алатындай етіп теңшеңіз.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Немесе Сіз кіретін жолды тікелей Сіздің  php.ini. include_path=%s орната аласыз";S;;T;N
"MySQL extension is installed";"MySQL кеңейтімі орнатылды";S;;T;N
"MySQL extension is not installed";"MySQL кеңейтімі орнатылған жоқ";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"MySQL кеңейтіміне жол ашыңыз. Толығырақ ақпарат http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"MySQL болжамасы %s немесе жоғарырақ";S;;T;N
"MySQL version is less then %s";"MySQL нұсқасы %s төмен";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"MySQL %s немесе жоғарырақ нұсқасын орнатыңыз. Сіздің ағымдық нұсқаңыз %s. Толығырақ ақпарат http://myqsl.net/";S;;T;N
"Please check system requirements and try again";"Жүйенің талаптарын тексеріп, қайтадан тырысып көріңіз";S;;T;N
"Welcome";"Қош келдіңіз";S;;T;N
"Error, you cannot deactivate Default campaign";"Қате, Сіз әдепкі науқанды дезактивациялай алмайсыз";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Сіз науқан күйін анықтауға тиіссіз (күй жолы)";S;merchant;T;N
"Campaigns";"Науқандар";B;;T;N
"Campaigns Manager";"Науқандар реттегіші";S;merchant;T;N
"Banners";"Жарламалар";B;merchant;T;N
"Banners Manager";"Жарламалар реттегіші";B;merchant;T;N
"Affiliates";"Қосу";B;merchant;T;N
"Affiliates Manager";"Қосу Реттегіші";S;merchant;T;N
"DirectLinks Urls";"Тікелей сілтемелер Url-дары";S;merchant;T;N
"Transactions";"Бірізді амалдар";S;merchant;T;N
"Raw clicks list";"Өңделмеген нұқулар тізімі";B;merchant;T;N
"Commissions";"Комиссиялар";B;;T;N
"Reports";"Есеп хаттаp";B;;T;N
"Trends report";"Бағыттардың есеп хаттары";B;;T;N
"Payouts history";"Төлемдер тарихы";B;;T;N
"Communication";"Тізбек";B;;T;N
"Send message";"Хабарлама жіберілді";S;merchant;T;N
"Configuration";"Теңшелім";B;merchant;T;N
"Tools";"Құралдар";B;;T;N
"Integration";"Біріктіру";B;merchant;T;N
"Import / Export";"Импорт / Экспорт";B;merchant;T;N
"Event logs";"Оқиға жұрналы";B;merchant;T;N
"Online users";"Онлайн қолданушылары";B;;T;N
"Database status";"Дерекқор күйі";B;;T;N
"User cannot be found";"Қолданушы табылмайды";S;affiliate;T;N
"Email was successfully sent to merchant";"Электрондық пошта сәтті жіберілді";S;affiliate;T;N
"Email notifications saved";"Электрондық пошта құлақтандыруы сақталды";S;;T;N
"Banner";"Жарлама";B;;T;N
"none active";"белсенді емес";S;;T;N
"per Sale";"Сату арқылы";B;;T;N
"Id";"Id";B;;N;N
"Name";"Аты";B;;T;N
"Description";"Сипаттама";B;;T;N
"Status";"Күй";B;;T;N
"Date created";"Жасалған мерзім";S;;T;N
"Actions";"Әрееттер";B;;T;N
"Channel";"Арна";B;;T;N
"Failed to save %s field(s). Data with value '";"%s жолақтарын сақтау сәтсіздікке ұшырады. Дерек мәні '";S;affiliate;T;N
"Failed to save %s field(s)";"%s жолақтарын сақтау сәтсіздікке ұшырады.";S;;T;N
"%s field(s) successfully saved";"%s жолақтары сәтті сақталды";S;;T;N
"User";"Қолданушы";S;;T;N
"Channel name";"Арна аты";S;affiliate;T;N
"Pattern didn't matched the URL, check your pattern";"Әшекей URL-ге сәйкес емес, әшекейіңізді тексеріңіз";S;affiliate;T;N
"Pattern matched the URL";"Әшекей URL-ге сәйкес келді";S;affiliate;T;N
"Login";"Жүйеге кіру";B;;T;N
"First Name";"Аты";B;;T;N
"Last Name";"Тегі";B;;T;N
"Referral ID";"ID ұсынымы";B;;T;N
"I agree with terms & conditions";"Мен шарттармен келісемін";B;;T;N
"Cannot find invoice";"Есеп таба алмайды";S;;T;N
"Affiliate";"Қосу";B;;T;N
"Date of registration";"Тіркеу мерзімі";S;affiliate;T;N
"% in total sales";"% жиынтық сату";S;affiliate;T;N
"% of total sales";"% жиынтық сату";S;affiliate;T;N
"% of total commissions";"% жиынтық комиссиялар";S;affiliate;T;N
"Commission";"Комиссия";B;;T;N
"Total cost";"Жиынтық шығын";B;;T;N
"Order ID";"ID реті";B;;T;N
"Product ID";"ІD өнімі";B;;T;N
"Created";"Жасалды";B;;T;N
"Campaign name";"науқан аты";B;;T;N
"Type";"Түрі";B;;T;N
"Affiliate username";"Қолданушы атын қосу";S;;T;N
"paid";"Төленген";B;;T;N
"IP";"IP";S;;N;N
"Referer";"Жіберуші";B;;T;N
"Recurring commison id";"Қайталанатын id";S;;T;N
"Payout history id";"id төлем тарихы";S;;T;N
"Click count";"Нұқу шоты";S;;T;N
"First click time";"Бірінші нұқу уақыты";S;;T;N
"First click referer";"Бірінші нұқу жіберушісі";S;;T;N
"First click ip";"ip бірінші нұқуы";S;;T;N
"First click data 1";"Бірінші нұқу дерек 1";S;;T;N
"First click data 2";"Бірінші нұқу дерек 2";S;;T;N
"Last click time";"Соңғы нұқу уақыты";S;;T;N
"Last click referer";"Соңғы нұқу жіберушісі";S;;T;N
"Last click ip";"ip соңғы нұқуы";S;;T;N
"Last click data 1";"Соңғы нұқу дерек 1";S;;T;N
"Last click data 2";"Соңғы нұқу дерек 2";S;;T;N
"Extra data 1";"Арнайы дерек 1";B;;T;N
"Extra data 2";"Арнайы дерек 2";B;;T;N
"Extra data 3";"Арнайы дерек 3";S;;T;N
"Extra data 4";"Арнайы дерек 4";S;;T;N
"Extra data 5";"Арнайы дерек 5";S;;T;N
"Merchant note";"Сатушы ескерімі";B;;T;N
"Banner name";"Жарлама атауы";S;merchant;T;N
"Banner preview";"Жарламаны қарап шығу";S;merchant;T;N
"Campaign";"Науқан";B;;T;N
"Target URL";"URL мақсаты";B;;T;N
"Banner type";"Жарлама түрі";S;;T;N
"Html data is not defined";"Html мерзімі анықталмайды";S;;T;N
"File name is not defined";"Файл атауы анықталмайды";S;;T;N
"Action";"Әрекет";B;;T;N
"Click";"нұқу";B;;T;N
"Sale";"Сату";B;;T;N
"Lead";"Ықтимал тұтынушы";C;merchant;T;N
"Unknown";"Белгісіз";B;;T;N
"Approved";"Бекіткен";B;;T;N
"Pending";"Бөгелген";B;;T;N
"User Id";"Id қолданушы";S;;T;N
"Payment date";"Төлем мерзімі";S;;T;N
"Username";"Қолданушы атауы";B;;T;N
"Amount";"Баға";B;;T;N
"Note to affiliate";"қосу ескерімі";S;;T;N
"Original currency ID";"ID негізгі ақшасы";S;;T;N
"Original currency rate";"Негізгі ақша өсімі";S;;T;N
