source;translation;type;module;status;customer
"Payout data";"Auszahlungsdaten";B;merchant;T;N
"N/A";"N/A";S;merchant;T;N
"New payout option";"Neue Auszahlungsoption";S;merchant;T;N
"New payout option %s";"Neue Auszahlungsoption %s";S;merchant;T;N
"Payout option";"Auszahlungsoption";S;merchant;T;N
"Payout history";"Auszahlungsverlauf";S;merchant;T;N
"Date paid";"Bezahlt am";S;merchant;T;N
"Payees";"Zahlungsempfänger";S;merchant;T;N
"Total amount";"Gesamtbetrag";S;merchant;T;N
"Affiliate note";"Partner Mitteilung";B;merchant;T;N
"payee";"Zahlungsempfänger";S;merchant;T;N
"Date";"Datum";B;;T;N
"Data 1";"Daten 1";B;merchant;T;N
"Data 2";"Daten 2";B;merchant;T;N
"Clicks raw";"Klicks insgesamt";S;;T;N
"Clicks unique";"Klicks eindeutig";S;;T;N
"Raw clicks older than %s are deleted";"Klicks, die älter als %s sind, werden gelöscht";S;merchant;T;N
"Failed to delete raw clicks";"Klicks insgesamt konnten nicht gelöscht werden";S;merchant;T;N
"Impressions raw";"Aufrufe insgesamt";S;;T;N
"Impressions unique";"Aufrufe eindeutig";S;;T;N
"Sales count";"Anzahl Verkäufe";S;;T;N
"Table name";"Tabellenname";S;merchant;T;N
"Records";"Datensätze";S;merchant;T;N
"Total size";"Gesamtgröße";S;merchant;T;N
"Data size";"Datengröße";S;merchant;T;N
"Index size";"Indexgröße";S;merchant;T;N
"Transaction";"Transaktion";B;;T;N
"Payout status";"Auszahlungsstatus";B;merchant;T;N
"Data 3";"Daten 3";B;merchant;T;N
"Data 4";"Daten 4";B;merchant;T;N
"Data 5";"Daten 5";B;merchant;T;N
"Tracked by";"Zurückverfolgt durch";B;merchant;T;N
"Time";"Zeit";B;;T;N
"Click data 1";"Klick Daten 1";B;merchant;T;N
"Click data 2";"Klick Daten 2";B;merchant;T;N
"unpaid";"unbezahlt";B;;T;N
"Username must be valid email address";"Der Benutzername muss eine gültige E-Mail-Adresse sein";S;;T;N
"You have to agree with terms & conditions";"Sie müssen den Allgemeinen Geschäftsbestimmungen zustimmen";B;;T;N
"is mandatory";"ist obligatorisch";B;;T;N
"Payout settings saved";"Auszahlungseinstellungen gespeichert";S;merchant;T;N
"Affiliate details";"Partner Details";B;merchant;T;N
"Date joined";"Beigetreten am";B;;T;N
"Date approved";"Genehmigt am";B;merchant;T;N
"Parent";"Übergeordnet";S;merchant;T;N
"Firstname";"Vorname";B;;T;N
"Lastname";"Nachname";B;;T;N
"Parent ID";"Übergeordneter Partner-ID";S;merchant;T;N
"Parent username";"Benutzername des übergeordneten Partners";S;merchant;T;N
"Parent first name";"Vorname des übergeordneten Partners";S;merchant;T;N
"Parent last name";"Nachname des übergeordneten Partners";S;merchant;T;N
"AffiliatesImportExportDescription";"Partnerdaten-können Sie verwenden um neue Partner in das System zu laden.";B;merchant;T;N
"Status successfully set to selected url(s)";"Status für ausgewählte URLs erfolgreich gesetzt";S;merchant;T;N
"Failed to set status selected url(s)";"Fehler beim Setzen des Status für ausgewählte URLs";S;merchant;T;N
"Commission group";"Provisionsgruppe";B;;T;N
"Commision group";"Provisionsgruppe";S;merchant;T;N
"Selected commission group(s) are changed";"Ausgewählte Provisionsgruppe(n) wurden geändert";S;merchant;T;N
"Changes saved";"Änderungen gespeichert";S;;T;N
"Application Name";"Name der Anwendung";S;;T;N
"New password URL";"Neue Kennwort-URL";S;;T;N
"Request valid until";"Anforderung gültig bis";S;;T;N
"Request new password";"Neues Kennwort anfordern";B;;T;N
"Wrong username/password";"Falscher Benutzername / Kennwort";S;;T;N
"Select account";"Konto auswählen";B;;T;N
"Authentication failed";"Authentifizierung fehlgeschlagen";S;;T;N
"User authenticated. Logging in.";"Benutzer authentifiziert. Benutzer wird angemeldet.";S;;T;N
"You entered invalid security code";"Sie haben einen ungültigen Sicherheitscode eingegeben";S;;T;N
"You entered invalid username";"Sie haben einen ungültigen Benutzernamen eingegeben";S;;T;N
"Within a few minutes you will receive instruction on how to reset you password.";"Sie werden in wenigen Minuten eine E-Mail mit Anweisungen erhalten, wie Sie ihr Kennwort zurücksetzen können.";S;;T;N
"Your password was changed. Go back to login dialog and login.";"Ihr Kennwort wurde geändert. Bitte gehen Sie zurück zur Anmeldung und melden sich mit Ihrem neuen Kennwort an.";S;;T;N
"Logout error";"Fehler beim Abmelden";S;;T;N
"Logout successful";"Abmeldung erfolgreich";S;;T;N
"Invalid password request. You have to request again new password before trying to set password.";"Ungültige Kennwortanforderung. Sie müssen noch einmal ein neues Kennwort anfordern bevor Sie versuchen können Ihr Kennwort festzulegen.";S;;T;N
"User account not approved yet";"Benutzerkonto noch nicht genehmigt";S;;T;N
"File to export is not defined";"Exportdatei ist nicht definiert";S;;T;N
"Unsupported";"Nicht unterstützt";S;;T;N
"Import file is not defined";"Importdatei ist nicht definiert";S;;T;N
"Export data";"Daten exportieren";B;;T;N
"Data was successfully exported to file %s";"Daten erfolgreich in Datei %s exportiert";S;;T;N
"File name";"Dateiname";B;;T;N
"Modules";"Module";S;;T;N
"Size";"Größe";S;;T;N
"Could not create account. (%s)";"Konto konnte nicht angelegt werden. (%s)";S;;T;N
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"Verzeichnis %s ist nicht durch Webserver-Benutzer beschreibbar. Bitte entfernen Sie es oder vergeben Sie Schreibrechte.";S;;T;N
"Failed to delete %s filter(s)";"Fehler beim Löschen von %s Filter(n)";S;;T;N
"%s filter(s) successfully deleted";"%s Filter erfolgreich gelöscht";S;;T;N
"Failed to load default mail account. Please check your mail account settings.";"Standard-E-Mail-Konto konnte nicht geladen werden. Bitte überprüfen Sie die Einstellungen Ihres E-Mail-Kontos.";S;;T;N
"View name must be unique";"Anzeigename muss eindeutig sein";S;;T;N
"Maximum length of %s in %s is %s";"Maximale Länge von %s in %s ist %s";S;;T;N
"Relation constraint";"Beziehung beschränkt";S;;T;N
"must be unique";"muss eindeutig sein";S;;T;N
"Error changing theme";"Fehler beim Ändern des Themas";S;;T;N
"Theme changed";"Thema geändert";S;;T;N
"Failed to delete %s wallpaper(s)";"Hintergrundbild(er) konnte(n) nicht gelöscht %s werden";S;;T;N
"%s wallpaper(s) successfully deleted";"%s Hintergrundbild(er) erfolgreich gelöscht";S;;T;N
"Failed to save wallpaper with error %s";"Fehler beim Speichern des Hintergrundbildes mit Fehler %s";S;;T;N
"Wallpaper saved.";"Hintergrundbild gespeichert.";S;;T;N
"Side bar saved";"Navigationsleiste gespeichert";S;;T;N
"Windows saved";"Fenster gespeichert";S;;T;N
"Quick Launch saved";"Schnellstartleiste gespeichert";S;;T;N
"File does not exist";"Datei existiert nicht";S;;T;N
"File was successfully uploaded";"Datei wurde erfolgreich hochgeladen";S;;T;N
"Unsupported gadget";"nicht unterstütztes Gadget";S;;T;N
"Gadget";"Gadget";S;;T;N
"Gadget added";"Gadget hinzugefügt";S;;T;N
"Failed to close gadget";"Gadget konnte nicht geschlossen werden";S;;T;N
"Gadget successfully closed";"Gadget erfolgreich geschlossen";S;;T;N
"Docking";"Docking";S;;T;N
"Gadgets saved";"Gadget gespeichert";S;;T;N
"Create Account";"Konto anlegen";B;;T;N
"Account is already created.";"Konto besteht bereits.";S;;T;N
"Create Database";"Datenbank anlegen";B;;T;N
"Could not create database. %s";"Datenbank konnte nicht angelegt werden. %s";S;;T;N
"doesnt exist's";"existiert nicht";S;;T;N
"Internal error";"interner Fehler";B;;T;N
"Error during database creation.";"Fehler beim Anlegen der Datenbank.";S;;T;N
"OK";"OK";B;;T;N
"Failed to read headers of CSF file %s";"Fehler beim Lesen der Kopfzeilen der CSF-Datei %s";S;;T;N
"Could not change permissions %s";"Zugriffsberechtigungen konnten nicht geändert werden %s";S;;T;N
"Could not open file";"Datei konnte nicht geöffnet werden";S;;T;N
"Could not read file";"Datei konnte nicht gelesen werden";S;;T;N
"Rewind unsupported in this file stream";"Rewind wird in diesem File Stream nicht unterstützt";S;;T;N
"File %s does not exist.";"Datei %s existiert nicht.";S;;T;N
"Failed to read file %s";"Datei  %s konnte nicht gelesen werden";S;;T;N
"Could not create directory %s";"Verzeichnis %s konnte nicht erstellt werden ";S;;T;N
"Could not open language file %s";"Sprachdatei %s konnte nicht geöffnet werden";S;;T;N
"Level";"Ebene";S;;T;N
"Message";"Nachricht";B;;T;N
"File";"Datei";S;;T;N
"Line";"Zeile";B;;T;N
"Group ID";"Gruppen-ID";S;;T;N
"Log event";"Ereignisprotokoll";S;;T;N
"Event(s) are deleted";"Ereignis(se) werden gelöscht";S;;T;N
"No event(s) to delete";"Kein(e) Ereignis(se) zum Löschen vorhanden";S;;T;N
"Debug event(s) are deleted";"Debug-Ereignisse werden gelöscht";S;;T;N
"No debug event(s) to delete";"Keine Debug-Ereignisse zum Löschen vorhanden";S;;T;N
"Mail Account Name";"Name des E-Mail-Kontos";S;;T;N
"From Name";"Name des Absenders";B;;T;N
"From Email";"E-Mail-Adresse des Absenders";S;;T;N
"Use SMTP protocol";"SMTP-Protokoll nutzen";S;;T;N
"SMTP Server";"SMTP-Server";B;;T;N
"SMTP Port";"SMTP-Port";B;;T;N
"SMTP Authentication";"SMTP-Authentifizierung";S;;T;N
"Use SSL connection";"SSL-Verbindung nutzen";S;;T;N
"SMTP Username";"SMTP-Benutzername";S;;T;N
"Is default mail account";"ist Standard-E-Mail-Konto";S;;T;N
"Yes";"Ja";B;;T;N
"No";"Nein";B;;T;N
"Email account test mail";"E-Mail-Konto Testnachricht";B;;T;N
"Default Mail Account";"Standard-E-Mail-Konto";S;;T;N
"Email settings saved";"E-Mail-Einstellungen gespeichert";S;;T;N
"Test mail scheduled, check outbox if it was sent.";"Testnachricht angewiesen, bitte überprüfen Sie in Ihrem Postausgang, ob die Testnachricht gesendet wurde.";S;;T;N
"Failed to restart %s row(s)";"%s Zeile(n) konnte(n) nicht neu gestartet werden";S;;T;N
"%s row(s) successfully restarted";"%s Zeile(n) erfolgreich neu gestartet";S;;T;N
"To recipients";"An Empfänger";S;;T;N
"Mail subject";"E-Mail-Betreff";S;;T;N
"Scheduled at";"Angewiesen um";S;;T;N
"Last retry";"Letzter Wiederholungsversuch";S;;T;N
"Retry number";"Wiederholungsversuch Nummer";S;;T;N
"Error message";"Fehlermeldung";S;;T;N
"Account name";"Kontoname";B;;T;N
"Server Date";"Server Datum";S;;T;N
"Server Time";"Server Zeit";S;;T;N
"Mail template not defined in database for class %s";"E-Mail-Vorlage in Datenbank nicht für Klasse %s definiert";S;;T;N
"Recipients empty";"Sie haben keinen Empfänger eingegeben";S;;T;N
"Body of mail not specified";"Textkörper der E-Mail nicht spezifiziert";S;;T;N
