source;translation;type;module;status;customer
lang_code;nl;M;;T;N
lang_name;Nederlands;M;;T;N
lang_english_name;Dutch;M;;T;N
lang_author;"On Demand Consultancy B.V. & PSEE V.O.F.";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;dd/MM/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;;M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;96;M;;T;N
"Error during copy of sample banner image %s.";"Fout tijdens het kopiëren van voorbeeld banner %s.";S;;T;N
"License";"Licentie";S;;T;N
"You have to agree license.";"U moet eerst akkoord gaan met de licentie.";B;;T;N
"Installation Completed";"Installatie is gereed";B;;T;N
"Safe Mode";"Veilige modus";S;;T;N
"Display Errors";"Weergave fouten";S;;T;N
"File Uploads";"Bestand Uploads";S;;T;N
"Register Globals";"Registreer GLOBALS";S;;T;N
"Session Auto Start";"Sessie Auto-Start";S;;T;N
"On";"Aan";B;;T;N
"Off";"Uit";B;;T;N
"Configuration directory is writable";"Configuratie map is schrijfbaar";S;;T;N
"Configuration directory has to be writable";"Configuratie map moet schrijfbaar zijn";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Maak map %s en alle submappen schrijfbaar op de webserver.";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"Op Unix-achtige systemen kunt u het commando ""chmod -R 777 %s"" gebruiken.";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"Op elk systeem kunt u schrijfrechten met een FTP-client instellen.";S;;T;N
"PHP include path";"PHP pad instellen";S;;T;N
"Could not set PHP include path";"Kan het PHP pad niet instellen";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Gelieve uw PHP zo te configureren zodat het script in staat is om het include_path te wijzigen.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Als alternatief kunt u het include_path direct in de php.ini zetten. include_path=%s";S;;T;N
"MySQL extension is installed";"MySQL extensie is geďnstalleerd";S;;T;N
"MySQL extension is not installed";"MySQL extensie is niet geďnstalleerd";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Activeer MySQL extensie. Meer informatie kunt u vinden op http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"MySQL versie is %s of hoger";S;;T;N
"MySQL version is less then %s";"MySQL versie is kleiner dan %s";S;;T;N
