source;translation;type;module;status;customer
"Payout history id";"払い出し履歴 id";S;;T;N
"Click count";"クリック数";S;;T;N
"First click time";"初回クリック時間";S;;T;N
"First click referer";"初回クリック紹介者";S;;T;N
"First click ip";"初回クリック ip";S;;T;N
"First click data 1";"初回クリック データ 1";S;;T;N
"First click data 2";"初回クリック データ 2";S;;T;N
"Last click time";"最終クリック時間";S;;T;N
"Last click referer";"最終クリック紹介者";S;;T;N
"Last click ip";"最終クリック ip";S;;T;N
"Last click data 1";"最終クリック データ 1";S;;T;N
"Last click data 2";"最終クリック データ 2";S;;T;N
"Extra data 1";"エクストラ データ 1";B;;T;N
"Extra data 2";"エクストラ データ 2";B;;T;N
"Extra data 3";"エクストラ データ 3";S;;T;N
"Extra data 4";"エクストラ データ 4";S;;T;N
"Extra data 5";"エクストラ データ 5";S;;T;N
"Merchant note";"マーチャントへの連絡事項";B;;T;N
"Banner name";"バナー名";S;merchant;T;N
"Banner preview";"バナープレビュー";S;merchant;T;N
"Campaign";"キャンペーン";B;;T;N
"Target URL";"ターゲット URL";B;;T;N
"Banner type";"バナータイプ";S;;T;N
"Html data is not defined";"Html データが定義されていません。";S;;T;N
"File name is not defined";"ファイル名が定義されていません。";S;;T;N
"unknown";"不明";B;;T;N
"approved";"承認済";B;;T;N
"pending";"ペンディング";B;;T;N
"User Id";"ユーザー Id";S;;T;N
"Payment date";"支払日";S;;T;N
"Username";"ユーザー名";B;;T;N
"Amount";"金額";B;;T;N
"Note to affiliate";"アフィリエイトへの連絡事項";S;;T;N
"Original currency ID";"オリジナル通貨 ID";S;;T;N
"Original currency rate";"オリジナル通貨レート";S;;T;N
"Original currency value";"オリジナル通貨金額";S;;T;N
"System note";"システムノート";B;;T;N
"Country code";"国コード";S;;T;N
"Affiliate first name";"アフィリエイト名";S;;T;N
"Affiliate last name";"アフィリエイト姓";S;;T;N
"3rd party cookie";"サードパーティクッキー";B;;T;N
"1st party cookie";"ファーストパーティクッキー";B;;T;N
"Flash cookie";"Flashクッキー";B;;T;N
"Forced parameter";"強制パラメーター";B;;T;N
"IP address";"IP アドレス";B;;T;N
"Default affiliate";"デフォルト アフィリエイト";B;;T;N
"Url";"URL";B;;N;N
"Note";"連絡事項";B;;T;N
"Status does not have allowed value";"ステータスに許可された値がありません。";S;;T;N
"Selected username already exists";"選択されたユーザー名は既に存在します。";S;;T;N
"Failed to change status for %s user(s)";"ユーザー %s のステータスの変更が失敗しました。";S;;T;N
"Status successfully changed for %s user(s)";"ユーザー %s のステータスがうまく変更されました。";S;;T;N
"Password";"パスワード";B;;T;N
"Title must be unique";"タイトルはユニークである必要があります。";S;affiliate;T;N
"Selected parent affiliate does not exist";"選択された上位アフィリエイトは存在しません。";S;;T;N
"Failed loading file %s with error: %s";"エラー: %sにより、ファイル%sのロードに失敗しました。";S;;T;N
"Merchant - New User Signup";"マーチャント - 新規ユーザーサインアップ";B;merchant;T;N
"New user signed up";"新規ユーザーがサインアップしました。";B;merchant;T;N
"Email subject";"Email 件名";S;merchant;T;N
"Email text";"Email 本文";S;merchant;T;N
"Merchant - Affiliate filled Contact us form";"マーチャント - アフィリエイトが連絡フォームに記入しました。";B;merchant;T;N
"Affiliate filled Contact us form";"アフィリエイトが連絡フォームに記入しました。";B;merchant;T;N
"Merchant - New Sale / Lead";"マーチャント - 新規売上 / リード";B;merchant;T;N
"New sale / lead";"新規売上 / リード";B;;T;N
