source;translation;type;module;status;customer
lang_code;du;M;;T;N
lang_name;Nederlands;M;;T;N
lang_english_name;Nederlands;M;;T;N
lang_author;Share4Profit;M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;"MM/dd/yyyy ";M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;40;M;;T;N
"Error during copy of sample banner image %s.";"Storing gedurende kopiëren van afbeelding voorbeeld banner %s.";S;;T;N
"License";"Licentie";S;;T;N
"You have to agree license.";"U moet akkoord gaan met de licentie.";B;;T;N
"Installation Completed";"Installatie voltooid";B;;T;N
"Safe Mode";"instelling Opslaan";S;;T;N
"Display Errors";"Toon Storingen";S;;T;N
"File Uploads";"Bestanden Geupload";S;;T;N
"Register Globals";"Registreer Globals";S;;T;N
"Session Auto Start";"Sessie Automatisch Starten";S;;T;N
"On";"Aan";B;;T;N
"Off";"Uit";B;;T;N
"Configuration directory is writable";"Configureer directory als beschrijfbaar";S;;T;N
"Configuration directory has to be writable";"Configureer directory moet beschrijfbaar zijn";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Maak alstublieft directory %s en alle subdirectories beschrijfbaar bij de webserver.";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"Bij unix-achtige systemen kun je typen ""chmod -R 777 %s"".";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"Op alle systemen kunt u toestemming tot schrijven geven met behulp van uw favoriet FTP programma..";S;;T;N
"PHP include path";"PHP inclusief pad ";S;;T;N
"Could not set PHP include path";"Kan PHP include pad niet instellen  ";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Configureer alstublieft uw PHP zodat het script de mogelijkheid heeft het include_path te veranderen.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Als Alternatief kunt u include_path directly in uw php.ini. include_path=%s instellen";S;;T;N
"MySQL extension is installed";"MySQL extension is geďnstalleerd";S;;T;N
"MySQL extension is not installed";"MySQL extension is niet geďnstalleerd";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Maak alstublieft MySQL extension mogelijk. Meer informatie http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"MySQL versie is %s of hoger";S;;T;N
"MySQL version is less then %s";"MySQL versie is minder dan %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Installeer alstublieft MySQL versie %s of hoger. Uw huidige versie is %s. Meer informatie http://myqsl.net/";S;;T;N
"Please check system requirements and try again";"Controleer alstublieft de systeem vereisten en probeer opnieuw";S;;T;N
"Welcome";"Welkom";S;;T;N
"Error, you cannot deactivate Default campaign";"Storing, u kunt de Standaard Campagne niet deactiveren";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"U moet de status van de campagne specificeren (rstatus field)";S;merchant;T;N
"Campaigns";"Campagnes";B;;T;N
"Overview";"Overzicht";B;;T;N
"Campaigns Manager";"Campagne Manager";S;merchant;T;N
"Banners";"Banners";B;merchant;N;N
"Banners Manager";"Manager Banners";B;merchant;T;N
"Affiliates";"Affiliates";B;merchant;N;N
"Affiliates Manager";"Affiliates Manager";S;merchant;N;N
"DirectLinks Urls";"DirectLinks Urls";S;merchant;N;N
"Transactions";"Transactie";S;merchant;T;N
"Raw clicks list";"Grove klikken lijst ";B;merchant;T;N
"Commissions";"Commissies ";B;;T;N
"Reports";"rapporten";B;;T;N
"Trends report";"Trends rapport";B;;T;N
"Payouts history";"Uitbetaling historie";B;;T;N
"Payouts by affiliate";"Uitbetaling per affiliate";B;merchant;T;N
"Payouts";"Uitbetalingen ";B;merchant;T;N
"Pay affiliates";"Betaal affiliates";B;merchant;T;N
"Communication";"Communicatie";B;;T;N
"Send message";"Zend bericht";S;merchant;T;N
"Configuration";"Configuratie";B;merchant;T;N
"Tracking settings";"Tracking Instellingen";B;merchant;T;N
"Affiliate panel";"Affiliate Paneel";C;merchant;T;N
"Tools";"Gereedschappen";B;;T;N
"Integration";"Integratie";B;merchant;T;N
"Import / Export";"Importeren / Exporteren";B;merchant;T;N
"Event logs";"Gebeurtenis logs";B;merchant;T;N
"Online users";"Online gebruikers";B;;T;N
"Database status";"Status Database ";B;;T;N
"User cannot be found";"Gebruiker kan niet gevonden worden";S;affiliate;T;N
"Email was successfully sent to merchant";"Email  was succesvol verzonden naar aanbieder ";S;affiliate;T;N
"Email notifications saved";"Email  notificatie opgeslagen";S;;T;N
"Banner";"Banner";B;;N;N
"none active";"non actief ";S;;T;N
"per click";"per klik";B;;T;N
"per sale";"per Verkoop";B;;T;N
"ID";"Id";B;;T;N
"Name";"Naam";B;;T;N
"Description";"Beschrijving";B;;T;N
"Status";"Status";B;;N;N
"Date created";"Datum aangemaakt";S;;T;N
"Actions";"Acties";B;;T;N
"Channel";"Kanaal";B;;T;N
"User";"Gebruiker kan niet gevonden worden";S;;T;N
"Channel name";"Kanaal naam";S;affiliate;T;N
"Pattern didn't matched the URL, check your pattern";"Patroon kwam niet overeen met de URL, controleer patroon ";S;affiliate;T;N
"Pattern matched the URL";"Patroon kwam overeen met URL";S;affiliate;T;N
"Login";"Inloggen";B;;T;N
"Username (email)";"Gebruikersnaam (Email )";B;merchant;T;N
"First name";"Voornaam";B;;T;N
"Last name";"Achternaam";B;;T;N
"Referral ID";"ID doorverwijzer";B;;T;N
"I agree with terms & conditions";"Ik ga akkoord met de voorwaarden & condities";B;;T;N
"Cannot find invoice";"Kan factuur niet vinden";S;;T;N
"Affiliate";"Affiliate";B;;N;N
"Date of registration";"Datum van registratie";S;affiliate;T;N
"% in total sales";"% aan totale verkopen ";S;affiliate;T;N
"% of total sales";"% van totale verkopen";S;affiliate;T;N
"% of total commissions";"% van totale commissie";S;affiliate;T;N
"Commission";"Commissies ";B;;T;N
"Total cost";"Totale kosten";B;;T;N
"Order ID";"bestelling ID";B;;T;N
"Product ID";"Product ID";B;;N;N
"Created";"Gecreëerd";B;;T;N
"Campaign Name";"Campagne naam";B;;T;N
"Type";"Type";B;;N;N
"Affiliate username";"Affiliate gebruikersnaam";S;;T;N
"Paid";"betaald";B;;T;N
"Ip";"IP";S;;N;N
"Referer";"Doorverwijzer";B;;T;N
"Recurring commison id";"Terugkerende commissie id";S;;T;N
"Payout history id";"Historie uitbetaling id";S;;T;N
"Click count";"aantal klikken ";S;;T;N
"First click time";"Tijd eerste keer geklikt";S;;T;N
"First click referer";"Eerste klik doorverwijzer";S;;T;N
"First click ip";"Eerste klik ip";S;;T;N
"First click data 1";"Eerste klik data 1";S;;T;N
"First click data 2";"Eerste klik data 2";S;;T;N
"Last click time";"Laatste klik tijd";S;;T;N
"Last click referer";"Laatste klik doorverwijzer";S;;T;N
"Last click ip";"Laatste klik ip";S;;T;N
"Last click data 1";"Laatste klik data 1";S;;T;N
"Last click data 2";"Laatste klik data 2";S;;T;N
"Extra data 1";"Extra data 1";B;;N;N
"Extra data 2";"Extra data 2";B;;N;N
"Extra data 3";"Extra data 3";S;;N;N
"Extra data 4";"Extra data 4";S;;N;N
"Extra data 5";"Extra data 5";S;;N;N
"Merchant note";"Aanbieder factuur ";B;;T;N
"Banner name";"Banner naam";S;merchant;T;N
"Banner preview";"Banner voorbeeld";S;merchant;T;N
"Campaign";"Campagne";B;;T;N
"Target URL";"Doel URL";B;;T;N
"Banner type";"Banner type";S;;N;N
"Html data is not defined";"Html gegevens niet gevonden";S;;T;N
"File name is not defined";"bestandsnaam niet gedefinieerd";S;;T;N
"unknown";"Onbekend";B;;T;N
"approved";"Goedgekeurd";B;;T;N
"pending";"In behandeling";B;;T;N
"User Id";"Gebruiker Id";S;;T;N
"Payment date";"Betalingdag";S;;T;N
"Username";"Gebruikersnaam";B;;T;N
"Amount";"Hoeveelheid";B;;T;N
"Note to affiliate";"factuur aan affiliate  ";S;;T;N
"Original currency ID";"Oorspronkelijke valuta  ID";S;;T;N
"Original currency rate";"Oorspronkelijke valuta";S;;T;N
"Original currency value";"Oorspronkelijke valuta waarde";S;;T;N
"System note";"Systeem notitie";B;;T;N
"Country code";"Land code";S;;T;N
"Affiliate first name";"Affiliate voornaam";S;;T;N
"Affiliate last name";"Affiliate Achternaam";S;;T;N
"3rd party cookie";"3de partij cookie";B;;T;N
"1st party cookie";"1ste partij cookie";B;;T;N
"Flash cookie";"Flash cookie";B;;N;N
"Forced parameter";"Geforceerde parameter";B;;T;N
