source;translation;type;module;status;customer
lang_code;hu;M;;T;N
lang_name;Hungarian;M;;T;N
lang_english_name;Hungarian;M;;T;N
lang_author;"minőségi egység";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;d.MM.yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;37;M;;T;N
"Error during copy of sample banner image %s.";"A minta banner kép %s másolásakor hiba történt";S;;T;N
"License";"licensz";S;;T;N
"You have to agree license.";"El kell fogadni a szerződési feltételeket";B;;T;N
"Installation Completed";"Az installáció befejeződött.";B;;T;N
"Safe Mode";"biztonságos mód.";S;;T;N
"Display Errors";"Megjelenítési hiba";S;;T;N
"File Uploads";"file feltöltések";S;;T;N
"Register Globals";"Register Globals";S;;N;N
"Session Auto Start";"Session Automata Indítás";S;;T;N
"On";"Be";B;;T;N
"Off";"Ki";B;;T;N
"Configuration directory is writable";"A konfigurációs könyvtár írható";S;;T;N
"Configuration directory has to be writable";"A konfigurációs könyvtárnak írhatónak kell lenni";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Kérjük, hozzon létre a webszerver által írható %s könyvtárat és alkönyvtárakat";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"Az Unix-szerű rendszereken begépelhető: ""chmod -R 777 %s"".";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"Bármilyen rendszeren beállíthat írási engedélyt kedvenc FTP kliensének használata segítségével.";S;;T;N
"PHP include path";"PHP include path";S;;N;N
"Could not set PHP include path";"PHP include path beállítása nem sikerült";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Kérjük, konfigurálja személyes oldalát úgy, hogy a script meg tudja változtatni a include_path.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Vagy, beállíthatja a include_path közvetlenül a php.ini. include_path=%s-ban is";S;;T;N
"MySQL extension is installed";"MySQL kiterjesztés installálva";S;;T;N
"MySQL extension is not installed";"MySQL kiterjesztés nincs installálva.";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Kérjük, engedélyezze a MySQL kiterjesztést! További információk: http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"MySQL verziója %s, vagy magasabb";S;;T;N
"MySQL version is less then %s";"MySQL verziója kevesebb, mint %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Kérjük installálja a MySQL %s vagy magasabb verzióját! Az ön jelenlegi verziója: %s. További információ: http://myqsl.net/";S;;T;N
"Select Language";"Nyelv kiválasztása";B;;T;N
"Please check system requirements and try again";"Kérjük ellenőrizze a rendszer-követelményeket és próbálja meg újra!";S;;T;N
"Welcome";"Üdvözöljük!";S;;T;N
"Error, you cannot deactivate Default campaign";"Hiba, az alapértelmezett kampány nem deaktiválható";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Meg kell határoznia a kampány státuszát  (rstatus mező)";S;merchant;T;N
"Campaigns";"Kampányok";B;;T;N
"Overview";"Áttekintés";B;;T;N
"Campaigns Manager";"kampány intéző";S;merchant;T;N
"Banners";"Bannerek";B;merchant;T;N
"Banners Manager";"Banner Intéző";S;merchant;T;N
"Affiliates";"Partnerek";B;merchant;T;N
"Affiliates Manager";"Partner-intéző";S;merchant;T;N
"DirectLinks Urls";"Közvetlen linkek URL";S;merchant;T;N
"Transactions";"Tranzakciók";S;merchant;T;N
"Raw clicks list";"""Nyers"" klikkek listája";B;merchant;T;N
"Commissions";"Jutalékok";B;;T;N
"Reports";"Jelentések";B;;T;N
"Quick report";"Gyors jelentés";B;merchant;T;N
"Trends report";"Trendek jelentése";B;;T;N
"Payouts history";"Eddigi kifizetések";B;;T;N
"Payouts by affiliate";"A partner kifizetései";B;merchant;T;N
"Payouts";"Kifizetések";B;merchant;T;N
"Pay affiliates";"Partner kifizetése";B;merchant;T;N
"Communication";"Kommunikáció";B;;T;N
"Send message";"Üzenet küldése";S;merchant;T;N
"Configuration";"Konfiguráció";B;merchant;T;N
"Tracking settings";"Tracking beállítások";B;merchant;T;N
"Affiliate panel";"Partner panel";B;merchant;T;N
"Tools";"Eszközök";B;;T;N
"Integration";"integráció";B;merchant;T;N
"Import / Export";"Import / Export";B;merchant;N;N
"Event logs";"Esemény naplók";B;merchant;T;N
"Online users";"Online felhasználók";B;;T;N
"Database status";"Adatbázis állapot";B;;T;N
"User cannot be found";"A felhasználó nem található";S;affiliate;T;N
"Email was successfully sent to merchant";"Az e-mail sikeresen elküldve a kereskedőnek";S;affiliate;T;N
"Email notifications saved";"E-mail értesítés elmentve";S;;T;N
"Banner";"Banner";B;;N;N
"none active";"nem aktív";S;;T;N
"CPM";"CPM";B;;N;N
"per click";"klikkenként";B;;T;N
"per sale";"eladásonként";B;;T;N
"ID";"ID";B;;N;N
"Name";"Név";B;;T;N
"Description";"Leírás";B;;T;N
"Status";"Állapot";B;;T;N
"Date created";"Dátum létrehozva";S;;T;N
"Actions";"Akciók";B;;T;N
"Channel";"csatorna-név";B;;T;N
"Failed to save %s field(s). Data with value '";"%s mező(k) mentése nem sikerült. Adatok értékkel.";S;affiliate;T;N
"Failed to save %s field(s)";"%s mezők elmentése sikertelen";S;;T;N
"%s field(s) successfully saved";"%s mezők sikeresen mentve";S;;T;N
"User";"Felhasználó";S;;T;N
"Channel name";"csatorna-név";S;affiliate;T;N
"Pattern didn't matched the URL, check your pattern";"A sablon nem felel meg az URL-nek, ellenőrizze le a sablonját!";S;affiliate;T;N
"Pattern matched the URL";"A sablon megfelelt az URL-nek.";S;affiliate;T;N
"Login";"Bejelentkezés";B;;T;N
"First name";"Vezetéknév";B;;T;N
"Last name";"Keresztnév";B;;T;N
"Referral ID";"Újonnan beszervezett eladó azonosítója";B;;T;N
"I agree with terms & conditions";"Elfogadom a feltételeket";B;;T;N
"Cannot find invoice";"Számla nem található";S;;T;N
"Affiliate";"partner";B;;T;N
"Date of registration";"A regisztráció dátuma";S;affiliate;T;N
"% in total sales";"% a teljes eladásokból";S;affiliate;T;N
"% of total sales";"Teljes eladások %-a";S;affiliate;T;N
"% of total commissions";"a teljes jutalék %-a";S;affiliate;T;N
"Commission";"Jutalék";B;;T;N
"Total cost";"teljes költség";B;;T;N
"Order ID";"Megrendelés azonosítója";B;;T;N
"Product ID";"Termék azonosítója";B;;T;N
"Created";"Létrehozva";B;;T;N
"Campaign Name";"Kampány neve";S;;T;N
"Type";"Típus";B;;T;N
"Affiliate username";"a partner felhasználóneve";S;;T;N
"Paid";"fizetve";B;;T;N
"Ip";"Ip";S;;N;N
"Referer";"Ajánló";B;;T;N
"Recurring commison id";"Ismétlődő jutalék ID";S;;T;N
"Payout history id";"Korábbi kifizetések ID";S;;T;N
"Click count";"A klikkek száma";S;;T;N
"First click time";"Az első klikk ideje";S;;T;N
"First click referer";"Első klikk ajánló";S;;T;N
"First click ip";"Első klikkelés IP-je";S;;T;N
"First click data 1";"Első klikkelés adatai 1";S;;T;N
"First click data 2";"Első klikkelés adatai 2";S;;T;N
"Last click time";"Az utolsó rákattintás ideje";S;;T;N
"Last click referer";"Utolsó klikk ajánló";S;;T;N
"Last click ip";"Az utolsó klikkelés IP-ja";S;;T;N
"Last click data 1";"utolsó klikkelés adatai 1";S;;T;N
"Last click data 2";"utolsó klikkelés adatai 2";S;;T;N
"Extra data 1";"Extra adatok 1";B;;T;N
"Extra data 2";"Extra adatok 2";B;;T;N
"Extra data 3";"extra adatok 3";S;;T;N
"Extra data 4";"extra adatok 4";S;;T;N
"Extra data 5";"extra adatok 5";S;;T;N
"Merchant note";"a kereskedő értesítése";B;;T;N
"Banner name";"A banner neve";S;merchant;T;N
"Banner preview";"Banner villámnézete";S;merchant;T;N
"Campaign";"Kampány";B;;T;N
"Target URL";"Cél URL";B;;T;N
"Banner type";"A banner típusa";S;;T;N
"Html data is not defined";"A Html adatok nincsenek megadva";S;;T;N
"File name is not defined";"A File neve nincs megadva";S;;T;N
"unknown";"ismeretlen";B;;T;N
"approved";"elfogadott";S;;T;N
"pending";"függőben lévő";S;;T;N
"User Id";"felhasználó azonosító";S;;T;N
"Payment date";"Kifizetés dátuma";S;;T;N
"Username";"felhasználónév";B;;T;N
"Amount";"Azonosító";B;;T;N
"Note to affiliate";"üzenet a partnernek";S;;T;N
"Original currency ID";"Eredeti pénznem azonosítója";S;;T;N
"Original currency rate";"Az eredeti pénznem átváltási aránya";S;;T;N
"Original currency value";"Eredeti pénznem értéke";S;;T;N
"System note";"rendszerüzenet";B;;T;N
"Country code";"országkód";S;;T;N
"Affiliate first name";"A partner keresztneve";S;;T;N
"Affiliate last name";"A partner vezetékneve";S;;T;N
"Unknown";"ismeretlen";B;;T;N
"3rd party cookie";"3. fél cookie";B;;T;N
"1st party cookie";"1st party cookie";B;;N;N
"Flash cookie";"Flash cookie";B;;N;N
"Forced parameter";"kötelező paraméter";B;;T;N
"IP address";"IP cím";B;;T;N
"Default affiliate";"Alapértelmezett partner";B;;T;N
"Url";"Url";B;;N;N
"Note";"megjegyzés";B;;T;N
"Status does not have allowed value";"A státusznak nincs megengedett értéke";S;;T;N
"Selected username already exists";"A választott felhasználónév már létezik";S;;T;N
"Failed to change status for %s user(s)";"%s felhasználók státuszának megváltoztatása nem sikerült.";S;;T;N
"Status successfully changed for %s user(s)";"%s felhasználók státusza sikeresen megváltoztatva.";S;;T;N
"First Name";"Keresztnév";B;;T;N
"Last Name";"Vezetéknév";B;;T;N
"Password";"jelszó";B;;T;N
"Title must be unique";"a címnek egyedinek kell lenni";S;affiliate;T;N
"Selected parent affiliate does not exist";"A kiválasztott főpartner nem létezik";S;;T;N
"Failed loading file %s with error: %s";"%s filek betöltése nem sikerült. %s hiba";S;;T;N
"Merchant - New User Signup";"Kereskedő - új partner jelentkezése";B;merchant;T;N
"New user signed up";"új felhasználó jelentkezett";B;merchant;T;N
"Email subject";"Az e-mail tárgya";S;merchant;T;N
"Email text";"Az e-mail szövege";S;merchant;T;N
"Merchant - Affiliate filled Contact us form";"Kereskedő - Partner kitöltötte a Lépjen velünk kapcsolatba űrlapot";B;merchant;T;N
"Affiliate filled Contact us form";"Partner kitöltötte a Lépjen velünk kapcsolatba űrlapot";B;merchant;T;N
"Merchant - New Sale / Lead";"Kereskedő - Új eladás/regisztráció";B;merchant;T;N
"New sale / lead";"Új eladás/regisztráció";B;;T;N
"Affiliate - New User Signup Approved";"Partner - új felhasználó feliratkozása elfogadva";B;;T;N
", welcome to our affiliate program";"üdvözöljük partner programunkban";B;;T;N
"Affiliate - New User Signup Before Approval";"Partner - Új felhasználó feliratkozása elfogadás előtt";B;;T;N
"Paid amount";"kifizetett összeg";S;;T;N
"Paid currency";"a kifizetett pénznem";S;;T;N
"Payout method";"a kifizetés módja";B;;T;N
"Affiliate - On payout";"Folyamatban lévő kifizetés a partnernek";B;;T;N
"Your commissions";"Az ön jutalékai";B;;T;N
"Affiliate - New Subaffiliate Sale / Lead";"Partner - Új Al-partner Eladás/Regisztráció";B;affiliate;T;N
"New subaffiliate sale / lead";"Új al-partner eladás/regisztráció";B;affiliate;T;N
"Affiliate - New Subaffiliate signup";"Partner - Új al-partner jelentkezés";B;affiliate;T;N
"New subaffiliate signed up";"Új al-partner jelentkezett";B;affiliate;T;N
"VAT percentage";"ÁFA százaléka";B;;T;N
"VAT number";"ÁFA száma";B;;T;N
"Registration number";"Regisztrációs szám";B;;T;N
"VAT part";"ÁFA rész";B;;T;N
"Payment incl. VAT";"kifizetés Áfá-val ";B;;T;N
"Payment excl. VAT";"kifizetés ÁFA nélkül";B;;T;N
"Affiliate - On VAT payout";"Partner - folyamatban lévő Áfa-kifizetés";B;;T;N
"Transaction ID";"Tranzakció azonosító";B;;T;N
"TotalCost";"Teljes összeg";S;;T;N
"Tier";"Kötés";S;;T;N
"Campaign ID";"kampány azonosító";S;;T;N
"Campaign name";"kampány név";B;;T;N
"Referer URL";"Ajánló URL";S;;T;N
"IP";"IP";S;;N;N
"First click - time";"Az első klikk ideje";S;;T;N
"First click - referer";"Első klikk ajánló";S;;T;N
"First click - IP";"Az első klikkelés IP-je";S;;T;N
"First click - data1";"első klikk-adatok 1";S;;T;N
"First click - data2";"első klikk-adatok 2";S;;T;N
"Last click - time";"utolsó klikk ideje";S;;T;N
"Last click - referer";"Utolsó klikk ajánló";S;;T;N
"Last click - IP";"utolsó klikk IP-je";S;;T;N
"Last click - data1";"utolsó klikk- adatok 1";S;;T;N
"Last click - data2";"utolsó klikk adatok 2";S;;T;N
"Transaction data1";"tranzakciós adatok 1";S;;T;N
"Transaction data2";"tranzakciós adatok 2";S;;T;N
"Transaction data3";"tranzakciós adatok 3";S;;T;N
"Transaction data4";"tranzakciós adatok 4";S;;T;N
"Transaction data5";"tranzakciós adatok 5";S;;T;N
"Note to merchant";"üzenet a kereskedőnek";S;;T;N
"Original currency";"eredeti pénznem";S;;T;N
"Banner does not exist";"nem létező banner";S;merchant;T;N
"Server error: Unknown type given for BannerForm._save()";"Szerver hiba: A banner formára ismeretlen típust adott meg. _mentés ()";S;merchant;T;N
"Banner was saved";"Banner elmentve";S;merchant;T;N
"Imps";"megjelenések száma";S;merchant;T;N
"Clicks";"klikkek";B;;T;N
"CTR";"CTR";S;;N;N
"Order";"megrendelés";B;merchant;T;N
"BannersImportExportDescription";"Bannerek meghatározása: fontos: ez az export/import csak a meghatározásokra vonatkozik, nem a fizikai képek és file-okra.";B;merchant;T;N
"Campaign does not exist";"Nem létező kampány";S;merchant;T;N
"Campaign capping saved";"Kampány capping elmentve";S;merchant;T;N
"Number of transactions in 'Active until' campaign validity has to be set";"A tranzakciók számát az 'Aktív …-ig' kampány érvényességben be kell állítani";S;merchant;T;N
"There are missing From and To dates for 'Active in date range' campaign validity";"Hiányzó Feladó és Címzett adatok az 'aktív … tól …-ig időtartam' kampány érvényességben";S;merchant;T;N
"Commission successfully computed";"Jutalék sikeresen kiszámolva";S;merchant;T;N
"User is not valid!";"Érvénytelen felhasználó!";S;merchant;T;N
"Campaign is not valid!";"Érvénytelen kampány!";S;merchant;T;N
"Transaction type is not valid or doesn't exist in this campaign!";"érvénytelen, vagy ebben a kampányban nem szereplő tranzakció típus";S;merchant;T;N
"Cannot recognize commission group for this user in campaign!";"A felhasználónak ebben a kampányban a jutalék-csoportja nem azonosítható.";S;merchant;T;N
"Error getting commission settings!";"Hiba a jutalékok beállításánál!";S;merchant;T;N
"Error, for percentage commissions you have to define Total cost!";"Hiba, a százalékos jutaléknál a Teljes összeget meg kell határoznia!";S;merchant;T;N
"You cannot deactivate default campaign";"Az alapértelmezett kampány nem deaktiválható";S;merchant;T;N
"You cannot delete default campaign";"Az alapértelmezett kampány nem törölhető.";S;merchant;T;N
"Default";"alapértelmezett";B;;T;N
"per sale / lead";"Eladásonként/regisztrációnként";B;;T;N
"CampaignsImportExportDescription";"A kampányok és a hozzájuk tartozó jutalékok összegének beállításai";B;merchant;T;N
"loadCommissionGroups: campaignId is empty";"A jutalék csoportok betöltése: kampány ld üres";S;merchant;T;N
"Campaign ID cannot be empty!";"a kampány ID-je nem lehet üres!";S;merchant;T;N
"CommissionTypeId (Id) cannot be empty!";"Jutalék Típus ld nem lehet üres!";S;merchant;T;N
"CommissionGroupId cannot be empty!";"Jutalék csoport ld nem lehet üres!";S;merchant;T;N
"Commission type does not exist";"a jutalék típusa nem létezik";S;merchant;T;N
"Commissions saved successfully";"A jutalék sikeresen elmentve";S;merchant;T;N
"Field 'type' does not exist";"a 'típus' mező nem létezik";S;merchant;T;N
"Failed to change status";"az állapot megváltoztatása sikertelen";S;merchant;T;N
"Status successfully changed";"Az állapot sikeresen megváltoztatva";S;merchant;T;N
"CommissionsImportExportDescription";"A jutalékokat (tranzakciók, megrendelések) a rendszer regisztrálja.";B;merchant;T;N
"Affiliate screen";"Partner képernyője";S;merchant;T;N
"Affiliate panel menu saved";"Partner panel menü elmentve";S;merchant;T;N
"Error changing default theme";"Hiba az alapértelmezett téma megváltoztatásánál";S;merchant;T;N
"Default theme changed";"Alapértelmezett téma megváltoztatva";S;merchant;T;N
"Program name and logo saved";"A program neve és logo-ja elmentve";S;merchant;T;N
"Affiliate signup settings saved";"Partner jelentkezési beállítások elmentve";S;merchant;T;N
"Value";"érték";B;;T;N
"Banner format successfully saved";"a banner formátuma sikeresen elmentve";S;merchant;T;N
"Cookies settings saved";"A cookie-k beállítása elmentve";S;merchant;T;N
"Symbol";"szimbólum";B;;T;N
"Precision";"pontosság";B;;T;N
"Where to display";"Hol jelenjen meg";B;;T;N
"Exchange rate";"átváltási arány";S;;T;N
"NEW";"ÚJ";S;;T;N
"Currency";"pénznem";B;;T;N
"Fraud protections saved";"Csalás elleni védelem elmentve";S;merchant;T;N
"Logging saved";"bejelentkezés elmentve";S;merchant;T;N
"Parameter names saved";"Paraméter nevek elmentve";S;merchant;T;N
"Tracking saved";"Tracking elmentve";S;merchant;T;N
"URLs & Directories saved";"az URL-ek és a könyvtárak elmentve";S;merchant;T;N
"Affiliates successfully paid";"a partnerek sikeresen kifizetve";S;merchant;T;N
"Id";"ID";B;;T;N
"Email";"E-mail";B;;T;N
"Approved";"elfogadva";B;;T;N
"VAT";"ÁFA";S;merchant;T;N
"To pay";"fizetendő";S;merchant;T;N
"Pending";"függőben";B;;T;N
"Declined";"elutasítva";B;;T;N
"Minimum payout";"Minimum kifizetés";S;merchant;T;N
"Payout data";"kifizetési adatok";B;merchant;T;N
"N/A";"Nem elérhető";S;merchant;T;N
"New payout option";"új kifizetési opció";S;merchant;T;N
"New payout option %s";"Új kifizetési opció %s";S;merchant;T;N
"Payout option";"kifizetési opció";S;merchant;T;N
"Payout history";"korábbi kifizetések";S;merchant;T;N
"Date paid";"Kifizetés dátuma";S;merchant;T;N
"Payees";"kifizetésre jogosultak";S;merchant;T;N
"Total amount";"teljes összeg";S;merchant;T;N
"Affiliate note";"Partner értesítése";B;merchant;T;N
"payees";"kifizetésre jogosultak";S;merchant;T;N
"payee";"kifizetésre jogosult";S;merchant;T;N
"Date";"dátum";B;;T;N
"Referer url";"Ajánló URL";S;merchant;T;N
"Data 1";"adatok 1";B;merchant;T;N
"Data 2";"adatok 2";B;merchant;T;N
"Clicks raw";"""nyers"" klikkek";S;;T;N
"Clicks unique";"Egyedi klikkek";S;;T;N
"Click";"klikk";B;;T;N
"Raw clicks older than %s are deleted";"A %s-nál régebbi ""nyers"" klikkek törölve";S;merchant;T;N
"Failed to delete raw clicks";"A ""nyers"" klikkeket nem sikerült kitörölni";S;merchant;T;N
"Impressions raw";"""Nyers"" megjelenések";S;;T;N
"Impressions unique";"Egyedi megjelenések";S;;T;N
"Sales count";"Eladások számolása";S;;T;N
"Table name";"a felület neve";S;merchant;T;N
"Records";"Feljegyzések";S;merchant;T;N
"Total size";"teljes méret";S;merchant;T;N
"Data size";"adat mérete";S;merchant;T;N
"Index size";"Index mérete";S;merchant;T;N
"Transaction";"tranzakció";B;;T;N
"Payout status";"a kifizetés állapota";B;merchant;T;N
"Data 3";"adatok 3";B;merchant;T;N
