Mage_Admin_Model_Observer:32
Mage_Admin_Model_Session:32
Mage_AdminNotification_Model_Observer:28
Mage_Pap_Model_Observer:28
Mage_Pap_Model_Config:2
Artio_MTurbo_Model_Observer:32
Artio_MTurbo_Helper_Urlparams:28
Artio_MTurbo_Model_Mturbo_Event:28
Artio_MTurbo_Model_Mturbo:28
Artio_MTurbo_Model_Mturbo_File:28
Mage_Core_Model_Config_Data:28
Mage_Core_Model_Resource_Config_Data:28
Mage_Core_Model_Resource_Config_Data_Collection:28
Magestore_Magenotification_Model_Observer:28
Magestore_Magenotification_Model_Magenotification:28
Mage_Core_Model_Date:28
Zend_Locale_Data:28
Zend_Locale:28
Zend_Date:28
Zend_Date_DateObject:28
Magestore_Magenotification_Model_Source_Time:28
Varien_Http_Adapter_Curl:28
Zend_Http_Client_Adapter_Interface:28
Zend_Http_Client:28
Magestore_Magenotification_Model_Mysql4_Magenotification:28
Mage_Core_Model_Mysql4_Abstract:28
Magestore_Magenotification_Model_Mysql4_Magenotification_Collection:28
Mage_Core_Model_Mysql4_Collection_Abstract:28
Zend_Http_Response:28
Mage_Core_Model_Observer:28
Mage_Core_Model_File_Storage:28
Mage_Core_Model_File_Storage_Flag:28
Mage_Core_Model_Flag:28
Mage_Core_Model_Resource_Flag:28
Mage_Core_Model_Resource_Layout:19
Mage_Adminhtml_Block_Page:18
Mage_Adminhtml_Block_Template:23
Mage_Core_Block_Template:23
Mage_Core_Block_Abstract:23
Mage_Adminhtml_Block_Page_Head:18
Mage_Page_Block_Html_Head:18
Mage_Core_Model_Translate_Expr:21
Mage_Core_Block_Html_Calendar:18
Mage_Adminhtml_Block_Page_Notices:18
Mage_Adminhtml_Block_Page_Header:18
Mage_Adminhtml_Block_Page_Menu:18
Mage_Adminhtml_Model_Url:32
Mage_Core_Model_Url:32
Mage_Core_Block_Text_List:18
Mage_Core_Block_Text:18
Mage_Adminhtml_Block_Notification_Baseurl:18
Mage_Adminhtml_Block_Cache_Notifications:18
Mage_Adminhtml_Block_Notification_Survey:18
Mage_Adminhtml_Block_Notification_Security:22
Mage_Adminhtml_Block_Widget_Breadcrumbs:18
Mage_Page_Block_Js_Translate:18
Mage_Core_Block_Messages:19
Mage_Core_Model_Message_Collection:4
Mage_Adminhtml_Block_Page_Footer:18
Mage_Core_Block_Profiler:18
Mage_Adminhtml_Block_Notification_Toolbar:18
Mage_Adminhtml_Block_Notification_Window:18
Mage_AdminNotification_Helper_Data:18
Mage_AdminNotification_Model_Inbox:18
Mage_AdminNotification_Model_Resource_Inbox:18
Mage_Index_Block_Adminhtml_Notifications:18
Mage_Captcha_Block_Captcha:4
Zend_Uri:19
Zend_Loader:19
Zend_Validate_Hostname:19
Zend_Validate_Abstract:23
Zend_Validate_Interface:23
Zend_Validate_Ip:19
Zend_Registry:19
Mage_Core_Model_Message:21
Mage_Admin_Model_User:4
Mage_Captcha_Model_Observer:4
Mage_Captcha_Helper_Data:4
Mage_Captcha_Model_Zend:4
Zend_Captcha_Image:4
Zend_Captcha_Word:4
Zend_Captcha_Base:4
Zend_Captcha_Adapter:4
Mage_Captcha_Model_Interface:4
Mage_Admin_Model_Resource_User:26
Mage_Core_Model_Encryption:4
Mage_Admin_Model_Resource_Acl:4
Mage_Admin_Model_Acl:4
Zend_Acl:4
Mage_Admin_Model_Config:20
Mage_Admin_Model_Acl_Resource:4
Zend_Acl_Resource:4
Zend_Acl_Resource_Interface:4
Mage_Admin_Model_Acl_Role_Group:4
Mage_Admin_Model_Acl_Role_Generic:4
Zend_Acl_Role:4
Zend_Acl_Role_Interface:4
Mage_Admin_Model_Acl_Role_Registry:4
Zend_Acl_Role_Registry:4
Mage_Admin_Model_Acl_Role_User:4
Mage_Oauth_Model_Observer:4
Mage_Oauth_Helper_Data:18
Mage_Captcha_Model_Resource_Log:4
Mage_AdminNotification_Model_Feed:23
Mage_Core_Helper_Js:14
Mage_Checkout_Helper_Data:14
Mage_Widget_Helper_Data:14
Zend_Json:14
Varien_Date:15
Mage_Backup_Helper_Data:14
Mage_Compiler_Helper_Data:14
Mage_ImportExport_Helper_Data:14
Mage_Index_Helper_Data:14
Mage_Sales_Helper_Data:15
Mage_Api_Helper_Data:14
Zend_Acl_Exception:14
Zend_Exception:14
Mage_Api2_Helper_Data:14
Mage_Connect_Helper_Data:14
Artio_MTurbo_Helper_Data:14
Mage_Cms_Helper_Data:14
Mage_Poll_Helper_Data:14
